Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,Language,char_k,char_y,char_j,char_w,char_z,char_ſ,char_ī,char_é,char_þ,char_ä,char_ö,char_á,char_æ,char_о,char_а,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_б,char_ь,char_м,char_ч,char_я,char_í,char_å,char_ó
Thomas H. Reid,e,12.69,t,9.48,a,8.35,o,7.78,n,7.07,i,6.91,r,6.6,s,6.23,h,5.2,d,3.85,12.69,8.35,6.23,7.07,6.91,6.6,3.66,9.48,7.78,2.86,3.85,2.87,2.18,2.06,,2.12,1.63,2.49,5.2,,English,,1.47,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hardy,e,12.65,t,9.01,a,7.98,o,7.63,n,6.92,h,6.75,i,6.69,s,6.28,r,5.77,d,4.55,12.65,7.98,6.28,6.92,6.69,5.77,3.95,9.01,7.63,2.85,4.55,2.39,2.44,1.58,,2.1,1.57,2.14,6.75,,English,,2.01,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hart Benton,e,13.44,t,10.66,o,7.98,a,7.21,n,7.13,i,7.01,s,6.26,r,6.03,h,5.78,d,3.93,13.44,7.21,6.26,7.13,7.01,6.03,3.23,10.66,7.98,2.77,3.93,2.94,2.55,2.1,,1.57,1.57,2.44,5.78,,English,,1.47,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hobbes,e,13.09,t,10.12,o,8.14,a,7.48,n,7.15,i,6.93,h,6.63,s,6.36,r,5.97,l,3.4,13.09,7.48,6.36,7.15,6.93,5.97,3.4,10.12,8.14,2.54,3.35,2.82,2.58,1.77,,1.73,1.7,2.6,6.63,,English,,1.72,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Inman,e,12.88,t,8.89,a,7.96,i,7.84,o,7.22,n,7.1,s,6.79,r,6.24,h,5.68,d,3.65,12.88,7.96,6.79,7.1,7.84,6.24,3.65,8.89,7.22,2.49,3.65,2.82,2.73,2.15,,1.97,1.69,2.53,5.68,,English,,1.67,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Knight,e,12.68,t,9.58,o,8.48,a,7.77,n,6.83,i,6.38,r,6.17,h,5.84,s,4.98,d,4.67,12.68,7.77,4.98,6.83,6.38,6.17,3.62,9.58,8.48,2.85,4.67,2.49,2.76,1.95,,2.35,1.41,2.35,5.84,,English,,1.82,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Malory,e,11.92,t,9.24,a,9.09,h,7.8,i,6.79,o,6.76,n,6.61,r,6.38,s,6.36,d,5.21,11.92,9.09,6.36,6.61,6.79,6.38,4.2,9.24,6.76,2.51,5.21,1.47,2.69,,,2.02,1.32,1.87,7.8,,English,1.12,1.76,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas More,e,12.87,t,10.21,o,7.89,a,7.58,n,6.91,i,6.71,h,6.62,s,6.28,r,6.21,l,3.56,12.87,7.58,6.28,6.91,6.71,6.21,3.56,10.21,7.89,2.78,3.49,2.55,2.52,1.83,,1.84,1.57,2.4,6.62,,English,,2.19,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Nelson Page,e,13.2,t,10.23,a,7.72,o,7.68,n,7.26,i,6.99,s,6.43,h,6.24,r,6.08,l,3.67,13.2,7.72,6.43,7.26,6.99,6.08,3.67,10.23,7.68,2.58,3.6,2.89,2.16,1.86,,1.82,1.45,2.37,6.24,,English,,1.64,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Paine,e,12.72,t,9.68,o,7.99,n,7.74,a,7.41,i,7.13,r,6.44,s,5.91,h,5.34,l,3.58,12.72,7.41,5.91,7.74,7.13,6.44,3.58,9.68,7.99,2.9,3.52,3.02,2.31,2.14,,1.86,1.59,2.56,5.34,,English,,1.89,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Preskett Prest,e,12.27,t,9.01,a,8.32,o,7.97,n,6.77,h,6.63,i,6.6,s,5.87,r,5.56,d,4.33,12.27,8.32,5.87,6.77,6.6,5.56,4.13,9.01,7.97,3.12,4.33,2.69,2.76,1.61,,1.71,1.46,2.27,6.63,,English,,2.26,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas S. Chard,e,13.2,t,9.25,o,7.8,a,7.24,r,6.83,i,6.5,n,6.26,s,6.22,h,5.63,l,4.06,13.2,7.24,6.22,6.26,6.5,6.83,4.06,9.25,7.8,2.75,3.85,2.67,2.45,2.08,,2.31,1.61,2.4,5.63,,English,,2.07,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Sikes,e,12.03,t,9.6,o,8.42,i,7.27,n,6.88,a,6.84,r,6.67,s,6.24,h,5.25,d,3.72,12.03,6.84,6.24,6.88,7.27,6.67,3.61,9.6,8.42,3.23,3.72,3.5,2.34,2.47,,1.74,1.7,2.33,5.25,,English,,2.26,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Wallace Knox,e,12.95,t,9.21,a,8.58,o,7.46,n,7.08,i,6.68,r,6.53,s,6.4,h,5.67,d,4.21,12.95,8.58,6.4,7.08,6.68,6.53,3.6,9.21,7.46,2.63,4.21,2.64,2.28,1.88,,2.01,1.45,2.39,5.67,,English,,1.64,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas William Hodgson Crosland,e,11.98,t,9.29,a,8.57,o,7.62,i,7.4,n,7.3,r,6.29,s,6.23,h,5.44,l,3.82,11.98,8.57,6.23,7.3,7.4,6.29,3.82,9.29,7.62,2.86,3.57,3.11,2.68,2.09,,1.99,1.56,2.33,5.44,,English,,1.96,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas à Kempis,e,12.43,t,10.39,o,8.24,h,7.01,a,6.95,n,6.67,i,6.66,s,5.69,r,5.68,l,4.42,12.43,6.95,5.69,6.67,6.66,5.68,4.42,10.39,8.24,2.95,3.73,2.22,2.43,1.47,,1.98,1.55,2.82,7.01,,English,,2.11,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thornton W. Burgess,e,12.42,t,9.65,o,7.93,a,7.6,h,6.48,n,6.42,r,6.14,i,6.01,s,5.6,d,4.65,12.42,7.6,5.6,6.42,6.01,6.14,3.78,9.65,7.93,2.96,4.65,2.18,2.22,1.75,,2.3,2.15,2.27,6.48,,English,,2.31,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorstein Veblen,e,12.78,t,9.66,i,8.07,o,7.76,a,7.57,n,7.08,s,7.07,r,5.91,h,4.93,c,3.89,12.78,7.57,7.07,7.08,8.07,5.91,3.73,9.66,7.76,3.0,3.19,3.89,2.48,2.29,1.2,1.45,1.34,2.98,4.93,,English,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Initiates,e,13.29,t,10.08,i,7.69,n,7.59,a,7.53,o,7.11,s,6.39,r,5.75,h,5.69,l,4.14,13.29,7.53,6.39,7.59,7.69,5.75,4.14,10.08,7.11,2.33,3.21,3.13,2.63,2.19,,1.93,1.4,2.56,5.69,,English,,1.63,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thucydides,e,13.04,t,10.02,a,8.47,n,7.55,o,7.35,i,6.82,h,6.55,s,6.28,r,5.73,d,4.08,13.04,8.47,6.28,7.55,6.82,5.73,3.4,10.02,7.35,2.54,4.08,2.7,2.36,1.81,,1.78,1.38,2.38,6.55,,English,,1.9,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titus Livius,e,13.05,t,10.23,a,7.5,o,7.3,n,6.98,i,6.87,h,6.47,s,6.36,r,6.09,d,4.03,13.05,7.5,6.36,6.98,6.87,6.09,3.29,10.23,7.3,3.21,4.03,2.89,2.61,1.8,,1.77,1.59,2.36,6.47,,English,,1.77,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Smollett,e,12.5,t,8.86,a,7.74,o,7.69,i,7.29,n,7.08,h,6.4,s,6.16,r,5.99,d,4.46,12.5,7.74,6.16,7.08,7.29,5.99,3.43,8.86,7.69,2.96,4.46,2.94,2.7,2.02,,1.78,1.41,2.55,6.4,,English,,1.75,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan Bernard,e,12.88,t,9.04,o,8.05,a,7.5,r,7.4,i,6.79,n,6.76,s,5.71,h,4.99,c,3.65,12.88,7.5,5.71,6.76,6.79,7.4,3.59,9.04,8.05,2.98,3.14,3.65,2.29,2.6,,2.35,1.54,2.25,4.99,,English,,2.27,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulysses S. Grant,e,12.69,t,9.72,o,8.1,a,7.88,n,7.16,r,6.56,i,6.46,s,5.81,h,5.79,d,4.3,12.69,7.88,5.81,7.16,6.46,6.56,3.49,9.72,8.1,2.51,4.3,2.83,2.78,1.85,,1.97,1.55,2.52,5.79,,English,,1.64,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Philip,e,12.99,t,9.55,a,7.65,o,7.52,n,7.19,i,6.62,h,6.32,r,6.19,s,5.94,d,4.56,12.99,7.65,5.94,7.19,6.62,6.19,3.55,9.55,7.52,2.61,4.56,2.4,2.58,1.69,,1.92,1.52,2.56,6.32,,English,,1.98,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,e,11.17,a,9.79,i,8.03,n,7.88,t,7.83,o,7.23,r,6.93,s,6.46,l,4.85,c,3.77,11.17,9.79,6.46,7.88,8.03,6.93,4.85,7.83,7.23,3.08,3.6,3.77,3.2,2.53,1.11,1.99,1.73,1.91,2.65,,English,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Bureau of the Census,e,11.28,o,10.25,t,7.92,n,7.75,a,7.56,r,7.53,i,7.32,s,6.33,c,4.83,u,4.69,11.28,7.56,6.33,7.75,7.32,7.53,4.04,7.92,10.25,4.69,3.26,4.83,1.7,4.33,0.7,1.53,,1.95,3.26,,English,,1.68,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Central Intelligence Agency,e,10.52,a,10.11,n,8.12,i,7.97,t,7.78,o,7.33,r,7.07,s,6.18,l,4.82,c,4.04,10.52,10.11,6.18,8.12,7.97,7.07,4.82,7.78,7.33,3.27,3.54,4.04,3.23,2.73,1.09,1.95,1.61,1.92,2.46,,English,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States, Public Health  Service",e,12.02,t,9.87,o,8.63,r,7.36,i,7.31,a,6.88,n,6.72,s,5.45,h,4.01,d,3.76,12.02,6.88,5.45,6.72,7.31,7.36,3.3,9.87,8.63,3.2,3.76,3.62,2.34,2.72,,2.48,1.72,2.52,4.01,,English,,1.98,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States.  Central Intelligence Agency,e,11.04,a,9.73,t,7.93,i,7.92,n,7.89,o,7.38,r,7.06,s,6.35,l,4.83,c,3.92,11.04,9.73,6.35,7.89,7.92,7.06,4.83,7.93,7.38,3.1,3.55,3.92,3.25,2.6,1.07,1.91,1.7,1.85,2.59,,English,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States. Central Intelligence Agency,e,11.11,a,9.83,i,7.97,n,7.88,t,7.86,o,7.24,r,6.96,s,6.41,l,4.91,c,3.74,11.11,9.83,6.41,7.88,7.97,6.96,4.91,7.86,7.24,3.11,3.53,3.74,3.23,2.61,1.11,1.95,1.71,1.86,2.63,,English,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,e,12.77,t,9.36,a,7.97,o,7.52,n,6.93,h,6.69,i,6.52,s,6.02,r,5.97,d,4.78,12.77,7.97,6.02,6.93,6.52,5.97,3.74,9.36,7.52,2.59,4.78,2.53,2.48,1.85,,1.96,1.6,2.45,6.69,,English,,1.74,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upton Sinclair,e,12.67,t,9.41,a,8.28,o,7.56,n,6.94,h,6.68,i,6.34,s,5.86,r,5.58,d,4.84,12.67,8.28,5.86,6.94,6.34,5.58,3.81,9.41,7.56,2.78,4.84,2.37,2.42,1.79,,2.21,1.46,2.18,6.68,,English,,1.8,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Government,e,12.01,t,10.32,o,8.49,a,7.63,i,7.06,r,6.96,n,6.93,s,5.4,h,4.62,l,3.44,12.01,7.63,5.4,6.93,7.06,6.96,3.44,10.32,8.49,2.96,3.37,3.31,2.38,2.29,,2.3,1.58,2.49,4.62,,English,,2.08,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vance Aandahl,e,11.91,t,9.65,o,8.4,r,7.17,i,7.09,a,6.79,n,6.75,s,5.73,h,4.31,d,3.72,11.91,6.79,5.73,6.75,7.09,7.17,3.57,9.65,8.4,3.17,3.72,3.45,2.33,2.44,,2.59,1.81,2.21,4.31,,English,,2.25,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Various,e,12.22,t,8.78,a,8.08,o,7.88,n,7.28,i,6.94,r,6.39,s,6.28,h,4.97,l,4.24,12.22,8.08,6.28,7.28,6.94,6.39,4.24,8.78,7.88,2.7,3.98,3.14,2.59,2.22,,2.01,1.65,2.77,4.97,,English,,1.79,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaseleos Garson,e,12.62,t,9.98,o,7.7,a,7.02,i,6.85,n,6.41,r,6.09,s,5.91,h,5.35,l,4.1,12.62,7.02,5.91,6.41,6.85,6.09,4.1,9.98,7.7,3.37,4.01,3.08,2.03,2.39,,2.4,1.65,2.18,5.35,,English,,2.01,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasili__i__ Vasil__evich Vereshchagin,e,12.8,t,9.35,a,7.81,o,7.75,n,7.0,i,6.64,s,6.63,r,6.41,h,5.99,d,4.14,12.8,7.81,6.63,7.0,6.64,6.41,3.62,9.35,7.75,2.83,4.14,2.75,2.37,1.91,,1.91,1.45,2.55,5.99,,English,,1.67,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatsyayana,e,12.5,t,8.62,a,8.11,o,8.09,n,7.34,s,6.92,i,6.75,h,6.61,r,5.86,d,3.77,12.5,8.11,6.92,7.34,6.75,5.86,3.57,8.62,8.09,2.61,3.77,2.6,2.54,1.65,,2.09,1.62,2.66,6.61,,English,,1.55,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Hugo,e,12.98,t,9.17,a,8.07,o,7.3,h,6.92,i,6.86,n,6.6,s,6.41,r,5.96,d,4.28,12.98,8.07,6.41,6.6,6.86,5.96,4.04,9.17,7.3,2.74,4.28,2.64,2.45,1.74,,1.99,1.48,2.22,6.92,,English,,1.6,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil,e,12.14,t,8.62,a,8.15,s,7.26,n,7.19,o,7.11,h,6.91,r,6.56,i,6.44,d,4.63,12.14,8.15,7.26,7.19,6.44,6.56,4.22,8.62,7.11,2.91,4.63,2.17,2.2,1.61,,2.1,1.33,2.35,6.91,,English,,1.79,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Woolf,e,11.87,t,9.3,o,8.3,a,7.24,r,7.1,i,6.74,n,6.44,s,5.86,h,5.21,d,3.98,11.87,7.24,5.86,6.44,6.74,7.1,3.91,9.3,8.3,3.05,3.98,3.19,2.22,2.26,,2.75,1.67,2.14,5.21,,English,,1.99,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitruvius,e,12.84,t,10.37,o,7.51,a,7.35,i,7.13,n,6.56,h,6.49,s,6.46,r,6.24,l,3.77,12.84,7.35,6.46,6.56,7.13,6.24,3.77,10.37,7.51,2.78,3.67,3.03,2.21,2.11,,1.76,1.67,2.7,6.49,,English,,1.3,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivian H. Galbraith,e,12.42,t,9.77,o,7.82,a,7.78,i,7.23,n,6.98,s,6.6,r,6.3,h,5.02,l,3.74,12.42,7.78,6.6,6.98,7.23,6.3,3.74,9.77,7.82,2.6,3.66,3.14,2.35,2.02,,1.77,2.24,2.7,5.02,,English,,1.87,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltaire,e,12.52,t,8.88,a,8.42,o,7.53,i,7.02,n,6.82,s,6.33,h,6.02,r,5.91,d,4.77,12.52,8.42,6.33,6.82,7.02,5.91,3.62,8.88,7.53,2.8,4.77,2.74,2.54,1.9,,1.97,1.54,2.07,6.02,,English,,1.92,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. C. Tuttle,e,12.87,t,9.17,o,7.94,a,7.41,r,6.51,n,6.46,i,6.2,h,5.94,s,5.45,d,4.43,12.87,7.41,5.45,6.46,6.2,6.51,3.92,9.17,7.94,2.99,4.43,2.78,2.35,1.86,,2.09,1.86,2.09,5.94,,English,,2.17,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. E. B. Du Bois,e,12.47,t,9.2,a,7.93,o,7.52,n,7.3,i,6.77,s,6.32,r,6.09,h,5.89,d,4.53,12.47,7.93,6.32,7.3,6.77,6.09,4.38,9.2,7.52,2.64,4.53,2.63,2.39,1.61,,2.16,1.49,2.51,5.89,,English,,1.77,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. L. Watson,e,12.75,t,9.47,a,8.14,o,7.54,n,6.67,r,6.5,i,6.28,s,5.79,h,5.71,d,4.54,12.75,8.14,5.79,6.67,6.28,6.5,4.04,9.47,7.54,2.96,4.54,2.56,2.29,1.67,,2.35,1.6,2.45,5.71,,English,,1.74,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. M. Maskell,e,12.16,t,8.76,a,7.98,i,7.58,o,7.41,n,7.22,s,6.76,r,6.04,l,4.89,h,4.11,12.16,7.98,6.76,7.22,7.58,6.04,4.89,8.76,7.41,3.06,3.37,3.53,2.64,2.5,,2.22,1.64,2.59,4.11,,English,,1.54,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. R. S. Ralston,e,12.67,t,9.14,a,8.1,o,7.65,h,6.94,n,6.72,i,6.66,s,6.45,r,5.91,d,4.31,12.67,8.1,6.45,6.72,6.66,5.91,3.77,9.14,7.65,2.51,4.31,2.28,2.35,1.76,,2.16,1.57,2.31,6.94,,English,,1.88,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. S. Crockett,e,12.09,t,9.16,o,8.0,a,7.93,n,6.69,i,6.67,s,6.64,r,6.59,h,5.68,d,4.26,12.09,7.93,6.64,6.69,6.67,6.59,4.25,9.16,8.0,2.46,4.26,2.89,2.42,1.71,,1.93,1.9,2.55,5.68,,English,,1.67,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Somerset Maugham,e,12.36,t,9.16,a,8.01,o,7.41,h,7.3,i,7.14,n,6.66,s,6.18,r,5.19,d,4.67,12.36,8.01,6.18,6.66,7.14,5.19,4.1,9.16,7.41,2.82,4.67,2.29,2.46,1.87,,1.95,1.35,2.08,7.3,,English,,2.02,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. W. Sleigh,e,12.49,t,9.73,o,8.09,a,7.59,i,7.32,n,7.14,s,6.35,r,6.13,h,5.38,l,4.05,12.49,7.59,6.35,7.14,7.32,6.13,4.05,9.73,8.09,2.81,3.69,3.15,2.32,2.02,,1.63,1.64,2.49,5.38,,English,,1.94,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.H.G. Kingston,e,12.78,t,9.27,o,7.89,a,7.89,h,6.49,n,6.42,i,6.2,r,6.09,s,5.76,d,4.61,12.78,7.89,5.76,6.42,6.2,6.09,3.59,9.27,7.89,3.07,4.61,2.57,2.31,1.87,,2.28,1.57,2.36,6.49,,English,,1.83,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.W. Jacobs,e,11.83,t,9.51,o,8.16,i,7.36,a,7.22,r,6.66,n,6.57,s,5.89,h,4.99,d,4.36,11.83,7.22,5.89,6.57,7.36,6.66,3.61,9.51,8.16,3.01,4.36,3.04,2.53,2.26,,2.43,1.7,2.3,4.99,,English,,2.03,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wadsworth Camp,e,12.63,t,9.03,a,7.91,o,7.59,h,6.91,i,6.58,n,6.37,s,6.08,r,5.86,d,4.8,12.63,7.91,6.08,6.37,6.58,5.86,3.78,9.03,7.59,2.87,4.8,2.53,2.54,1.59,,2.09,2.12,2.0,6.91,,English,,2.14,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace D. Wattles,e,11.62,t,9.98,o,8.56,i,7.63,n,7.23,a,7.18,s,5.91,r,5.8,h,5.41,l,3.8,11.62,7.18,5.91,7.23,7.63,5.8,3.8,9.98,8.56,3.43,3.14,3.13,2.36,1.96,,2.2,1.47,2.35,5.41,,English,,2.56,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walt Whitman,e,12.27,t,8.86,o,7.87,a,7.73,n,7.11,s,7.05,i,6.6,r,6.19,h,5.9,l,4.5,12.27,7.73,7.05,7.11,6.6,6.19,4.5,8.86,7.87,2.83,4.06,2.25,2.66,1.73,,2.32,1.38,2.47,5.9,,English,,2.02,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Crane,e,11.68,t,9.9,o,8.79,r,7.48,i,7.21,n,6.75,a,6.56,s,5.06,h,3.82,c,3.73,11.68,6.56,5.06,6.75,7.21,7.48,3.37,9.9,8.79,3.31,3.59,3.73,2.31,2.83,,2.65,1.85,2.56,3.82,,English,,2.06,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter James Hoffman,e,12.46,t,9.29,i,8.49,a,7.44,n,7.18,o,7.17,s,6.49,r,5.97,h,5.93,d,4.27,12.46,7.44,6.49,7.18,8.49,5.97,2.93,9.29,7.17,2.19,4.27,2.93,2.65,2.14,,2.13,1.46,2.41,5.93,,English,,1.25,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Scott,e,12.61,t,9.02,a,7.83,o,7.48,h,6.73,n,6.65,i,6.62,r,6.38,s,6.36,d,4.54,12.61,7.83,6.36,6.65,6.62,6.38,3.9,9.02,7.48,2.77,4.54,2.71,2.45,1.74,,1.88,1.63,2.43,6.73,,English,,1.74,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter William Skeat,e,11.14,a,10.75,t,8.5,i,7.18,n,7.11,o,6.49,s,5.86,r,5.71,h,5.67,l,3.99,11.14,10.75,5.86,7.11,7.18,5.71,3.99,8.5,6.49,3.13,3.82,2.57,2.81,2.16,,2.46,2.03,2.19,5.67,,English,,1.58,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Irving,e,12.64,t,9.16,a,7.9,o,7.47,n,7.06,i,6.89,h,6.26,s,6.22,r,6.19,d,4.28,12.64,7.9,6.22,7.06,6.89,6.19,3.85,9.16,7.47,2.67,4.28,2.71,2.41,1.96,,2.09,1.59,2.56,6.26,,English,,1.71,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth Webster,e,12.84,t,9.49,a,8.4,h,7.58,o,7.52,s,6.84,i,6.56,n,6.43,r,5.54,d,3.93,12.84,8.4,6.84,6.43,6.56,5.54,3.86,9.49,7.52,2.57,3.93,2.05,2.48,1.46,,2.19,1.44,2.07,7.58,,English,,2.14,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilfred T. Grenfell,e,12.0,t,9.51,o,8.21,a,7.73,n,6.97,i,6.91,r,5.99,s,5.77,h,5.45,d,4.19,12.0,7.73,5.77,6.97,6.91,5.99,3.89,9.51,8.21,2.75,4.19,2.77,2.44,1.85,,2.61,1.61,2.62,5.45,,English,,1.95,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilkie Collins,e,12.68,t,9.21,a,7.82,o,7.66,i,7.13,n,6.98,s,6.22,h,6.17,r,5.93,d,4.27,12.68,7.82,6.22,6.98,7.13,5.93,3.79,9.21,7.66,2.64,4.27,2.47,3.0,1.71,,1.88,1.35,2.32,6.17,,English,,2.24,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will N. Harben,e,11.84,t,9.12,a,8.3,o,8.08,i,7.11,n,6.89,h,6.19,s,5.77,r,5.38,l,4.63,11.84,8.3,5.77,6.89,7.11,5.38,4.63,9.12,8.08,3.0,4.47,2.06,2.53,1.64,,2.06,1.73,2.01,6.19,,English,,2.33,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willa Cather,e,12.54,t,8.91,a,8.01,o,7.64,n,6.94,h,6.72,i,6.29,r,5.96,s,5.91,d,4.72,12.54,8.01,5.91,6.94,6.29,5.96,4.06,8.91,7.64,2.77,4.72,2.19,2.57,1.51,,2.33,1.56,1.99,6.72,,English,,1.93,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Grosvenor Bleyer,e,12.72,t,9.4,a,8.05,o,7.43,n,7.09,i,6.79,s,6.47,r,6.39,h,5.73,d,4.04,12.72,8.05,6.47,7.09,6.79,6.39,3.94,9.4,7.43,2.41,4.04,3.01,2.43,1.86,,1.94,1.62,2.42,5.73,,English,,1.8,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Bisiker,e,12.53,t,9.21,a,8.18,o,7.65,n,6.78,r,6.58,i,6.51,s,6.25,h,5.61,d,4.12,12.53,8.18,6.25,6.78,6.51,6.58,4.02,9.21,7.65,2.85,4.12,2.64,2.16,1.81,,2.08,1.53,2.67,5.61,,English,,1.56,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Blake,e,12.72,t,9.02,o,7.78,a,7.26,n,6.97,i,6.91,r,6.7,s,5.93,h,5.41,d,4.0,12.72,7.26,5.93,6.97,6.91,6.7,4.0,9.02,7.78,2.67,4.0,2.82,2.39,2.17,,2.45,1.72,2.29,5.41,,English,,2.12,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Byron Forbush,e,12.31,t,9.27,o,7.62,a,7.59,i,7.45,n,6.72,r,6.42,s,6.25,h,5.4,l,4.15,12.31,7.59,6.25,6.72,7.45,6.42,4.15,9.27,7.62,2.65,3.77,3.6,2.51,2.35,,2.3,1.57,2.22,5.4,,English,,2.01,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Carpenter,e,12.26,t,10.49,o,8.32,a,7.88,i,7.02,n,6.79,r,6.37,s,6.36,h,6.04,l,3.85,12.26,7.88,6.36,6.79,7.02,6.37,3.85,10.49,8.32,2.74,3.19,2.87,2.01,2.11,,1.85,1.57,2.43,6.04,,English,,1.67,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
